"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"6453","Normal/Others","WS/MP847/2025-2026/137654-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6454","Normal/Others","WS/MP847/2025-2026/137653-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6455","Normal/Others","WS/MP847/2025-2026/137658-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6456","Normal/Others","WS/MP847/2025-2026/137657-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6457","Normal/Others","WS/MP847/2025-2026/137656-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6458","Normal/Others","WS/MP847/2025-2026/137661-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6459","Normal/Others","WS/MP847/2025-2026/137660-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6460","Normal/Others","WS/MP847/2025-2026/137659-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6461","Normal/Others","WS/MP847/2025-2026/137662-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6462","Normal/Others","WS/MP847/2025-2026/137666-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
