Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
868,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/203954,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,11-Aug-26,MAHALUXMI BKO,Payment In-Progress,117702
869,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/203943,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,21-Aug-26,MAHALUXMI BKO,Payment In-Progress,36523
870,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/203944,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,21-Aug-26,MAHALUXMI BKO,Payment In-Progress,10710
871,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/203954,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,14-Aug-26,MAHALUXMI BKO,Payment In-Progress,34000
872,Assam,Street lights,WS/MP541/2026-2027/227617,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,26-Aug-26,PRITOM TRIBEDI,Payment In-Progress,104000
873,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270545,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
874,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270546,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
875,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270548,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
876,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270547,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
877,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270553,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
